n01p264.cluster         0.00000E+00    0.15497E-03    0.43008E-02    0.53906E-03    0.11706E-03    0.11182E-03    0.25988E-04    0.28133E-04    0.25988E-04    0.27180E-04    0.25034E-04    0.30994E-04    0.27895E-04    0.27895E-04    0.36955E-04    0.21935E-04    0.30994E-04    0.25988E-04    0.24080E-04    0.23127E-04    0.26941E-04    0.27180E-04    0.10896E-03    0.11492E-03    0.99897E-04    0.73910E-04    0.15402E-03    0.10204E-03    0.27180E-04    0.23842E-04    0.25034E-04    0.25034E-04    0.21935E-04    0.25034E-04    0.25988E-04    0.25988E-04    0.25034E-04    0.22888E-04    0.25034E-04    0.24080E-04
n01p264.cluster         0.82016E-04    0.00000E+00    0.18120E-04    0.25988E-04    0.25034E-04    0.20027E-04    0.20981E-04    0.15974E-04    0.15020E-04    0.15020E-04    0.16928E-04    0.15020E-04    0.15974E-04    0.17881E-04    0.17881E-04    0.15974E-04    0.18120E-04    0.18120E-04    0.16928E-04    0.15974E-04    0.19073E-04    0.17166E-04    0.26941E-04    0.31948E-04    0.25034E-04    0.22888E-04    0.27895E-04    0.22888E-04    0.16212E-04    0.15020E-04    0.14067E-04    0.15020E-04    0.15020E-04    0.16212E-04    0.14782E-04    0.15020E-04    0.15974E-04    0.13113E-04    0.12875E-04    0.15020E-04
n01p264.cluster         0.36001E-04    0.19073E-04    0.00000E+00    0.18120E-04    0.26941E-04    0.19073E-04    0.19073E-04    0.16928E-04    0.15020E-04    0.15020E-04    0.14067E-04    0.15974E-04    0.18120E-04    0.19073E-04    0.17881E-04    0.14067E-04    0.14067E-04    0.16928E-04    0.25034E-04    0.16928E-04    0.15020E-04    0.15974E-04    0.23842E-04    0.26941E-04    0.20981E-04    0.20027E-04    0.25988E-04    0.20027E-04    0.17881E-04    0.18120E-04    0.18120E-04    0.17881E-04    0.14067E-04    0.16928E-04    0.15974E-04    0.16928E-04    0.15974E-04    0.17166E-04    0.16928E-04    0.16928E-04
n01p264.cluster         0.44107E-04    0.20027E-04    0.17166E-04    0.00000E+00    0.26226E-04    0.30994E-04    0.38862E-04    0.27895E-04    0.22888E-04    0.23127E-04    0.31948E-04    0.21935E-04    0.23842E-04    0.30041E-04    0.23127E-04    0.29087E-04    0.21935E-04    0.23127E-04    0.22888E-04    0.21935E-04    0.22888E-04    0.41962E-04    0.25988E-04    0.27895E-04    0.21935E-04    0.23127E-04    0.30041E-04    0.24080E-04    0.24080E-04    0.23127E-04    0.22888E-04    0.24080E-04    0.22888E-04    0.22173E-04    0.23127E-04    0.24080E-04    0.25034E-04    0.29087E-04    0.22888E-04    0.22888E-04
n01p264.cluster         0.62943E-04    0.25988E-04    0.22888E-04    0.30994E-04    0.00000E+00    0.20981E-04    0.20981E-04    0.18120E-04    0.20027E-04    0.17881E-04    0.20027E-04    0.20027E-04    0.20981E-04    0.19073E-04    0.20027E-04    0.18120E-04    0.18120E-04    0.17881E-04    0.18835E-04    0.19073E-04    0.28133E-04    0.19073E-04    0.29087E-04    0.37909E-04    0.27180E-04    0.25988E-04    0.31948E-04    0.25988E-04    0.19073E-04    0.19073E-04    0.18120E-04    0.22888E-04    0.18120E-04    0.18120E-04    0.24080E-04    0.20027E-04    0.17166E-04    0.17881E-04    0.19073E-04    0.17166E-04
n01p264.cluster         0.39101E-04    0.20027E-04    0.16928E-04    0.21935E-04    0.25034E-04    0.00000E+00    0.18120E-04    0.15974E-04    0.21935E-04    0.18120E-04    0.21219E-04    0.18120E-04    0.16928E-04    0.15974E-04    0.17166E-04    0.15974E-04    0.17881E-04    0.17881E-04    0.15974E-04    0.16928E-04    0.16928E-04    0.17881E-04    0.20027E-04    0.30041E-04    0.28133E-04    0.20981E-04    0.30041E-04    0.23127E-04    0.17881E-04    0.15974E-04    0.16928E-04    0.17881E-04    0.20027E-04    0.16928E-04    0.16928E-04    0.18120E-04    0.17166E-04    0.15974E-04    0.15974E-04    0.16928E-04
n01p265.cluster         0.46968E-04    0.15974E-04    0.16928E-04    0.15974E-04    0.16928E-04    0.15974E-04    0.00000E+00    0.56982E-04    0.31233E-04    0.42200E-04    0.32187E-04    0.31948E-04    0.18835E-04    0.17166E-04    0.12875E-04    0.16212E-04    0.15974E-04    0.16928E-04    0.17881E-04    0.17166E-04    0.18120E-04    0.17881E-04    0.16928E-04    0.17166E-04    0.24080E-04    0.17881E-04    0.18120E-04    0.17166E-04    0.30041E-04    0.39101E-04    0.26941E-04    0.36955E-04    0.46968E-04    0.28849E-04    0.18120E-04    0.18120E-04    0.17166E-04    0.15974E-04    0.16928E-04    0.15974E-04
n01p265.cluster         0.36001E-04    0.17166E-04    0.15974E-04    0.16928E-04    0.16928E-04    0.16928E-04    0.25988E-04    0.00000E+00    0.15020E-04    0.22888E-04    0.20027E-04    0.20981E-04    0.18120E-04    0.17166E-04    0.15974E-04    0.16212E-04    0.16928E-04    0.16928E-04    0.37909E-04    0.16928E-04    0.17881E-04    0.17881E-04    0.17881E-04    0.16928E-04    0.18120E-04    0.20981E-04    0.16928E-04    0.16928E-04    0.21219E-04    0.23842E-04    0.20981E-04    0.19073E-04    0.24080E-04    0.20027E-04    0.17166E-04    0.15974E-04    0.17166E-04    0.15020E-04    0.15020E-04    0.15974E-04
n01p265.cluster         0.36955E-04    0.17166E-04    0.15974E-04    0.15974E-04    0.16928E-04    0.17166E-04    0.24080E-04    0.16928E-04    0.00000E+00    0.20027E-04    0.17166E-04    0.19073E-04    0.19073E-04    0.16928E-04    0.16928E-04    0.21935E-04    0.16928E-04    0.16928E-04    0.17881E-04    0.18120E-04    0.17166E-04    0.19073E-04    0.17166E-04    0.19073E-04    0.15974E-04    0.18120E-04    0.17881E-04    0.16928E-04    0.19789E-04    0.20981E-04    0.20027E-04    0.16928E-04    0.21935E-04    0.18835E-04    0.15974E-04    0.16928E-04    0.17881E-04    0.16928E-04    0.15974E-04    0.15974E-04
n01p265.cluster         0.41962E-04    0.16928E-04    0.15974E-04    0.16928E-04    0.17881E-04    0.16928E-04    0.28133E-04    0.20027E-04    0.17166E-04    0.00000E+00    0.15020E-04    0.16928E-04    0.17166E-04    0.18120E-04    0.18120E-04    0.17166E-04    0.16928E-04    0.17881E-04    0.18835E-04    0.20981E-04    0.17166E-04    0.17881E-04    0.17881E-04    0.16928E-04    0.16928E-04    0.17166E-04    0.18120E-04    0.16928E-04    0.17881E-04    0.22888E-04    0.20027E-04    0.19073E-04    0.27180E-04    0.20981E-04    0.17166E-04    0.19073E-04    0.16928E-04    0.17166E-04    0.16928E-04    0.17881E-04
